family,trackinglevel,subtype,targetgrade,ucaspoints,entryscoreupper,entryscorelower,unitsscoreupper,unitsscorelower,ranking
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MM/Level 2 DM",NULL,NULL,NULL,-1.00,-1.00,5.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MM",NULL,NULL,NULL,234.00,204.00,5.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MM/Level 2 MP",NULL,NULL,NULL,-1.00,-1.00,4.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MP/Level 2 MM",NULL,NULL,NULL,-1.00,-1.00,4.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MP",NULL,NULL,NULL,204.00,174.00,4.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 MP/Level 2 PP",NULL,NULL,NULL,-1.00,-1.00,3.6
BTEC,"Level 1 & 2","Extended Certificate","Level 2 PP/Level 2 MP",NULL,NULL,NULL,-1.00,-1.00,3.3
BTEC,"Level 1 & 2","Extended Certificate","Level 2 PP",NULL,NULL,NULL,174.00,144.00,3.0
BTEC,"Level 1 & 2","Extended Certificate","Level 2 PP/Level 1",NULL,NULL,NULL,-1.00,-1.00,2.6
BTEC,"Level 1 & 2","Extended Certificate","Level 1/Level 2 PP",NULL,NULL,NULL,-1.00,-1.00,2.3
BTEC,"Level 1 & 2","Extended Certificate","Level 1",NULL,NULL,NULL,144.00,72.00,2.0
BTEC,"Level 1 & 2","Extended Certificate","Level 1/U",NULL,NULL,NULL,-1.00,NULL,1.6
BTEC,"Level 1 & 2","Extended Certificate","U/Level 1",NULL,NULL,NULL,-1.00,NULL,1.3
BTEC,"Level 1 & 2","Extended Certificate",U,NULL,NULL,NULL,72.00,0.00,1.0
BTEC,"Level 1",Award,Pass,NULL,NULL,NULL,0.00,0.00,1.0
BTEC,"Level 1",Award,"Not Achieved",NULL,NULL,NULL,0.00,0.00,0.0
BTEC,"Level 1",Certificate,Pass,NULL,NULL,NULL,0.00,0.00,1.0
BTEC,"Level 1",Certificate,"Not Achieved",NULL,NULL,NULL,0.00,0.00,0.0
BTEC,"Level 1",Diploma,Pass,NULL,NULL,NULL,0.00,0.00,1.0
BTEC,"Level 1",Diploma,"Not Achieved",NULL,NULL,NULL,0.00,0.00,0.0
